player,season,masters_date,n_prior_events,sg_total_weighted,sg_app_weighted,sg_putt_weighted,sg_arg_weighted,sg_ott_weighted,sg_t2g_weighted,top10_rate,cut_rate,augusta_fit,masters_appearances,masters_avg_finish,masters_best_finish,masters_wins,recent_form_bonus,l6_sg_total_avg,l6_sg_app_avg,l6_sg_putt_avg,l6_top10_rate,l6_cut_rate,l6_avg_finish,finish_position,made_cut,top32,top16,top10,top5,won
corey conners,2022,2022-04-10,12,0.6766714202525735,0.4422442833781248,-0.33534191825582177,0.12563417220536185,0.6481864517598248,1.2161012124733255,0.0,0.8333333333333334,0.22083079570492584,4,36.0,8.0,0,0,0.5166666666666666,0.18833333333333332,-0.8799999999999999,0.0,0.6666666666666666,45.0,6.0,1,1,1,1,0,0
cameron davis,2022,2022-04-10,12,-0.6009230203927463,0.31193628987349226,-0.05614566067604399,-0.22664586252762095,-0.5037320157011745,-0.41808934021884786,0.08333333333333333,0.5,-0.06203777633607945,0,,,0,0,-0.43166666666666664,0.15833333333333335,0.13333333333333333,0.0,0.5,61.833333333333336,46.0,1,0,0,0,0,0
collin morikawa,2022,2022-04-10,12,0.1687803274659218,0.2330133379143334,-0.13424118257282755,-0.2794106248759052,0.34963036140067283,0.30182264510342305,0.5,0.8333333333333334,0.09838905797259455,2,31.0,18.0,0,0,0.8225,0.27,0.19250000000000006,0.6666666666666666,0.8333333333333334,27.833333333333332,5.0,1,1,1,1,1,0
charl schwartzel,2022,2022-04-10,12,-2.199656299785667,-0.2809362897812526,-1.0946897631624466,-0.028855115952463754,-0.7389246948752664,-1.0468106998892621,0.0,0.3333333333333333,-0.9673401369292178,7,47.42857142857143,3.0,0,0,-2.355,-0.20333333333333328,-1.5316666666666665,0.0,0.16666666666666666,80.0,10.0,1,1,1,1,0,0
cameron smith,2022,2022-04-10,12,1.7216881934058037,0.630183667840735,0.8808739792248181,0.4135348664954645,-0.17034820734568556,0.872786955107231,0.5,0.9166666666666666,0.8470235243389213,5,24.6,2.0,0,0,1.8916666666666666,0.6816666666666668,0.9483333333333334,0.5,0.8333333333333334,22.333333333333332,3.0,1,1,1,1,1,0
cameron young,2022,2022-04-10,12,0.9684680489400228,-0.18118961182825732,0.19737201137755825,0.19553405387951545,0.5603481873330944,0.5751461632450577,0.16666666666666666,0.6666666666666666,0.23291035303730395,0,,,0,0,1.5133333333333336,0.16833333333333336,0.22166666666666665,0.16666666666666666,0.8333333333333334,26.166666666666668,85.0,0,0,0,0,0,0
daniel berger,2022,2022-04-10,12,1.3189886031882656,0.6117898101310872,0.11568478689368838,0.3897118001459252,0.19262030673363637,1.1940076187132582,0.4166666666666667,0.9166666666666666,0.5218632637462973,4,39.25,10.0,0,0,1.444,0.5,0.27,0.5,0.8333333333333334,21.5,50.0,1,0,0,0,0,0
dustin johnson,2022,2022-04-10,12,0.6665457683754404,0.26445413379588956,0.42753982709439425,-0.27982283199152286,0.32931492856169503,0.3143156175820256,0.4166666666666667,0.75,0.4027620280794283,6,18.5,1.0,1,1,0.526,0.43000000000000005,0.05600000000000003,0.2,0.8,39.6,12.0,1,1,1,0,0,0
danny willett,2022,2022-04-10,12,-0.10199375017869151,-0.27611553459901444,-0.40246205861391354,0.5490814552830374,0.029201911278651328,0.3035050740068059,0.0,0.6666666666666666,-0.2626450874482222,7,56.714285714285715,1.0,1,0,-0.6875,-0.31000000000000005,-0.63,0.0,0.6666666666666666,53.833333333333336,12.0,1,1,1,0,0,0
erik van rooyen,2022,2022-04-10,12,1.256365403304179,0.4240816326530612,0.8456851311953353,0.006530612244897931,-0.019931972789115633,0.4139844509232263,0.16666666666666666,0.8333333333333334,0.6883514444738934,1,93.0,93.0,0,0,,,,0.0,0.8333333333333334,38.5,85.0,0,0,0,0,0,0
fred couples,2022,2022-04-10,5,-0.9246938775510205,-0.05515063168124394,-0.32329446064139944,-0.33581146744412055,-0.20655004859086493,-0.6013994169096211,0.0,0.2,-0.32451983390758904,6,66.66666666666667,18.0,0,0,-0.81,-0.006666666666666672,-0.33,0.0,0.2,72.2,85.0,0,0,0,0,0,0
francesco molinari,2022,2022-04-10,12,-1.0690555424397348,-0.24711356295606268,-0.5701132304882763,0.029354400992980784,-0.33043226371741435,-0.546718176517202,0.08333333333333333,0.5,-0.5215864111249309,5,40.6,5.0,0,0,-0.34833333333333333,-0.12666666666666662,0.008333333333333378,0.16666666666666666,0.8333333333333334,48.0,85.0,0,0,0,0,0,0
garrick higgo,2022,2022-04-10,12,-1.0418773272363948,-0.4818662840774514,-0.37767761708453546,-0.29526639224460555,0.11274405615194974,-0.6657506880876607,0.0,0.6666666666666666,-0.4917442002698897,0,,,0,0,-1.0183333333333333,-0.3533333333333333,-0.46,0.0,0.5,58.666666666666664,85.0,0,0,0,0,0,0
guido migliozzi,2022,2022-04-10,6,0.6359766763848395,0.1144120505344995,0.8526239067055394,0.43222546161321673,-0.8171234207968902,-0.2199514091350827,0.16666666666666666,0.5,0.39299761463026767,0,,,0,0,-1.86,-1.18,1.32,0.0,0.3333333333333333,72.33333333333333,85.0,0,0,0,0,0,0
gary woodland,2022,2022-04-10,12,0.8808968661300726,0.5492958272937326,0.258099597669744,0.0951667692447478,-0.08655824587331484,0.5571033286350806,0.3333333333333333,0.5833333333333334,0.44589247147643063,6,67.83333333333333,32.0,0,0,1.1016666666666666,0.615,0.38000000000000006,0.5,0.6666666666666666,33.166666666666664,85.0,0,0,0,0,0,0
