variable,mean,median,std,ci_low_95,ci_high_95,pearson_r_vs_finish,p_value
sg_putt,-0.054230769230769235,-0.025,1.105548602408647,-0.29958107858781047,0.19111954012627203,-0.304839068359517,0.006653378684626903
sg_arg,-0.043333333333333335,-0.11,0.8092062274937821,-0.22291747627982067,0.136250809613154,-0.39023524784229063,0.00041250194889310847
sg_app,-0.0817948717948718,0.04,1.0604088204399595,-0.31712747641582295,0.15353773282607938,-0.6081019301820604,3.5285116875877318e-09
sg_ott,-0.0276923076923077,0.055,0.8293839414153871,-0.21175441600548975,0.15636980062087433,-0.3703848332949543,0.0008441553132021895
sg_t2g,-0.1526923076923077,-0.035,1.828839439727746,-0.5585598754536606,0.2531752600690452,-0.693471747292006,1.9619921283385618e-12
sg_total,-0.20948717948717943,-0.020000000000000004,1.9492348798224954,-0.6420736616481955,0.2230993026738366,-0.8225578757209914,2.5844107439993523e-20
made_cut,0.6590909090909091,1.0,0.474374365626946,0.6228995146986778,0.6952823034831404,-0.8004659907343625,2.0709048451657304e-148
